Stop_Order,Base,Map_Name,Location,Priority,Recommended_Time,Best_Time,How_To_Experience_CN,What_To_Look_For_CN,Story_Theme_CN,Autumn_Focus_CN,Practical_Tip_CN,Source_URL,Google_Maps_Search_URL
57,Athens,Acropolis Museum,"Acropolis Museum, Athens, Greece",Must,2–3小时,Acropolis 之后,一定先上山再进馆，碎片才会有空间关系。,Parthenon Gallery、Caryatids。,博物馆把风化遗址重新拼回原建筑语境。,雨天也可。,顺序很重要。,https://www.theacropolismuseum.gr/en,https://www.google.com/maps/search/?api=1&query=Acropolis%20Museum%2C%20Athens%2C%20Greece
57,Athens,Corinth Canal,"Corinth Canal, Greece",Optional,30–60分钟,转场白天,若路线经过再停，不值得专门大绕路。,狭窄直切岩壁水道。,19世纪工程终于实现古代人长期想做的“切开 Corinth isthmus”设想。,无秋色重点。,观景点短停。,https://www.visitgreece.gr/,https://www.google.com/maps/search/?api=1&query=Corinth%20Canal%2C%20Greece
57,Athens,Temple of Poseidon,"Temple of Poseidon, Cape Sounion, Greece",Optional+,半天,日落,天气清楚才去；提前到 cliff headland 等太阳落海。,柱廊、Aegean horizon。,海神庙放在海上交通门户，位置本身就是信仰和航海安全的表达。,晚季少人、天空戏剧性强。,回程夜驾注意疲劳。,https://www.visitgreece.gr/,https://www.google.com/maps/search/?api=1&query=Temple%20of%20Poseidon%2C%20Cape%20Sounion%2C%20Greece
58,Delphi,Delphi Archaeological Site,"Delphi, Greece",Must,3小时,上午,一路上坡走 Sanctuary，反复回头看山谷。,Temple of Apollo、Treasury、山谷。,神谕的权威不仅来自仪式，也来自这个极其戏剧化的山地位置。,晚季山光很好。,比 Athens 冷，带层次衣物。,https://whc.unesco.org/en/list/393/,https://www.google.com/maps/search/?api=1&query=Delphi%2C%20Greece
59,Meteora,Great Meteoron Monastery,"Great Meteoron Monastery, Meteora, Greece",Must,1.5–2小时,上午,至少看一座修道院内部，理解真正的生活和宗教空间。,壁画、院落、岩顶建筑。,修士追求隔绝，把难以接近的岩柱变成宗教世界。,裸枝和雾反而更神秘。,开放日轮休。,https://www.visitmeteora.travel/,https://www.google.com/maps/search/?api=1&query=Great%20Meteoron%20Monastery%2C%20Meteora%2C%20Greece
59,Meteora,Cliffside Sunset Viewpoints,"Meteora, Greece",Must,1.5–2小时,日落,沿 ridge road 用安全 pull-off 停车，等岩柱变色和修道院剪影。,岩柱、平原、修道院轮廓。,地质侵蚀创造塔柱，人类再把它变成精神隔离空间。,雾和云可能比秋叶更有戏。,不要停在危险弯道。,https://www.visitmeteora.travel/,https://www.google.com/maps/search/?api=1&query=Meteora%2C%20Greece
59,Meteora,Varlaam Monastery,"Varlaam Monastery, Meteora, Greece",Optional+,1–1.5小时,上午/下午,如果已经看 Great Meteoron，再选 Varlaam 看另一种内部尺度。,壁画、吊运历史、山谷视角。,过去物资和人曾靠绳网/吊运上岩顶，更能理解这里曾有多隔绝。,晚季气氛强。,查当天开放。,https://www.visitmeteora.travel/,https://www.google.com/maps/search/?api=1&query=Varlaam%20Monastery%2C%20Meteora%2C%20Greece
62,Belgrade,Kalemegdan Fortress,"Belgrade Fortress, Serbia",Must,2–3小时,傍晚,一定走到 Sava 和 Danube 交汇点。,两河交汇、层层城墙。,谁控制这个河流十字路口，谁就控制重要 Balkan transport corridor，所以这里反复被争夺。,公园可能剩些晚叶。,免费。,https://www.tob.rs/en,https://www.google.com/maps/search/?api=1&query=Belgrade%20Fortress%2C%20Serbia
62,Belgrade,Church of Saint Sava,"Temple of Saint Sava, Belgrade, Serbia",Must,1–1.5小时,晚上,看大穹顶和 mosaics，再下 crypt。,巨大内部、现代 mosaics。,现代 Orthodox monumental church 与 Serbian national/religious identity 紧密相连。,室内。,夜间灯光很好。,https://www.tob.rs/en,https://www.google.com/maps/search/?api=1&query=Temple%20of%20Saint%20Sava%2C%20Belgrade%2C%20Serbia
62,Belgrade,Knez Mihailova Street,"Knez Mihailova Street, Belgrade, Serbia",Optional,1小时,晚上,从 Republic Square 慢走到 Kalemegdan。,19世纪立面、步行街生活。,这条街把现代 Belgrade 的市民城市和旧 fortress 连起来。,晚季城市夜景为主。,顺路。,https://www.tob.rs/en,https://www.google.com/maps/search/?api=1&query=Knez%20Mihailova%20Street%2C%20Belgrade%2C%20Serbia
63,Novi Sad,Petrovaradin Fortress,"Petrovaradin Fortress, Novi Sad, Serbia",Must,1.5–2小时,傍晚,从 fortress 看 Danube 和 Novi Sad。,clock tower、河弯、堡垒台地。,这里曾是 Habsburg-Ottoman frontier 的关键防御点。,河边或有晚叶。,一晚中转足够。,https://novisad.travel/en/,https://www.google.com/maps/search/?api=1&query=Petrovaradin%20Fortress%2C%20Novi%20Sad%2C%20Serbia
64,Budapest,Parliament Night Cruise,"Danube, Budapest, Hungary",Must,1小时,天黑后,坐简单 sightseeing cruise，不需要把 dinner 当重点。,Parliament、Chain Bridge、Buda Castle 灯光。,Budapest 必须从河上看，Buda 和 Pest 才会真正成为一个城市。,季节无关，夜景是重点。,甲板很冷。,https://www.budapestinfo.hu/,https://www.google.com/maps/search/?api=1&query=Danube%2C%20Budapest%2C%20Hungary
64,Budapest,Fisherman's Bastion,"Fisherman's Bastion, Budapest, Hungary",Must,1.5–2小时,清晨,在人少时走 terraces，再去 Matthias Church/城堡区。,Parliament 对景、Danube、尖塔。,它其实主要是19世纪浪漫化历史建筑，反映现代 Hungary 如何想象自己的过去。,冬前清晨空气清。,早去。,https://www.budapestinfo.hu/,https://www.google.com/maps/search/?api=1&query=Fisherman%27s%20Bastion%2C%20Budapest%2C%20Hungary
64,Budapest,Chain Bridge,"Széchenyi Chain Bridge, Budapest, Hungary",Must,30–45分钟,蓝调时刻,步行过桥一次，从河面高度看两岸。,Buda Castle、Parliament、桥链结构。,它是永久连接 Buda 和 Pest 的关键基础设施之一，也是统一城市的视觉象征。,夜灯比秋色重要。,与夜航不同角度。,https://www.budapestinfo.hu/,https://www.google.com/maps/search/?api=1&query=Sz%C3%A9chenyi%20Chain%20Bridge%2C%20Budapest%2C%20Hungary
64,Budapest,Széchenyi Thermal Bath,"Széchenyi Thermal Bath, Budapest, Hungary",Optional+,2–3小时,傍晚,把它当长途驾驶恢复项目；冬冷空气里泡户外热池最好。,蒸汽、Neo-Baroque 建筑。,Budapest 的温泉文化从 Roman/Ottoman 延续到现代 spa city。,冷空气+热蒸汽最有感觉。,带拖鞋。,https://www.szechenyibath.hu/,https://www.google.com/maps/search/?api=1&query=Sz%C3%A9chenyi%20Thermal%20Bath%2C%20Budapest%2C%20Hungary
65,Vienna,Schönbrunn Palace,"Schönbrunn Palace, Vienna, Austria",Must,3–4小时,上午,室内只选重点，再走 garden axis 到 Gloriette。,黄色宫殿、长轴、Habsburg rooms。,它是理解 Habsburg court life 和多民族帝国规模的最佳地方之一。,届时园林可能偏冬景，但构图仍强。,别一天塞三个宫。,https://www.wien.info/en,https://www.google.com/maps/search/?api=1&query=Sch%C3%B6nbrunn%20Palace%2C%20Vienna%2C%20Austria
67,Regensburg,Stone Bridge & Old Town,"Stone Bridge, Regensburg, Germany",Must,1.5–2小时,傍晚,走过 medieval bridge 回看 cathedral skyline。,Danube、石桥、塔楼。,河流贸易让 Regensburg 保留下异常完整的中世纪城市核心。,晚季氛围为主。,一晚足够。,https://tourismus.regensburg.de/en,https://www.google.com/maps/search/?api=1&query=Stone%20Bridge%2C%20Regensburg%2C%20Germany
68,Würzburg,Würzburg Residence,"Würzburg Residence, Germany",Must,2小时,上午,重点看 staircase 和 Tiepolo ceiling，再看花园。,Baroque interior、grand staircase。,是欧洲 Baroque court architecture 的高峰，也提醒你当时 Germany 是许多小王公领地拼起来的。,葡萄园可能已落叶。,室内回程好点。,https://www.wuerzburg.de/en/visitors/index.html,https://www.google.com/maps/search/?api=1&query=W%C3%BCrzburg%20Residence%2C%20Germany
69,Middle Rhine,Bacharach & Rhine Valley,"Bacharach, Germany",Must,2–3小时,上午,走老镇/城墙，再开一小段 Rhine，不追求里程。,河弯、vineyard terraces、castle silhouettes。,Rhine 这一窄谷把贸易、收费城堡和葡萄酒文化压在同一条河廊里。,若叶未尽，葡萄藤可能铜金色；没叶也有结构美。,12月日照短，早出。,https://www.germany.travel/en/nature-outdoor-activities/upper-middle-rhine-valley.html,https://www.google.com/maps/search/?api=1&query=Bacharach%2C%20Germany
70,Cologne,Cologne Cathedral,"Cologne Cathedral, Germany",Must,1.5–2小时,上午/晚上,先绕外部感受巨大尺度，再进内部看垂直结构。,双尖塔、nave、stained glass。,建造跨越数百年，19世纪完成后又成为现代 German national symbol。,季节无关。,最后一个强建筑收尾。,https://www.koelner-dom.de/en,https://www.google.com/maps/search/?api=1&query=Cologne%20Cathedral%2C%20Germany
10,Lillehammer,Lake Mjøsa View,"Lake Mjøsa, Lillehammer, Norway",Optional,30–60分钟,傍晚,湖边慢走、吃饭、休息；它的目的就是让转场也有景。,长湖、森林坡地。,不是大景点，而是“旅行节奏设计”的一部分。,秋色潜力高。,不要过度安排。,https://en.lillehammer.com/,https://www.google.com/maps/search/?api=1&query=Lake%20Mj%C3%B8sa%2C%20Lillehammer%2C%20Norway
11,Karlstad,Klarälven Waterfront,"Karlstad, Sweden",Optional,1小时,晚上,河边散步，把 Scandinavian lake country 当旅程的一部分。,低 skyline、河、树。,慢下来本身就是这一站的主题。,秋色不错。,轻松晚饭。,https://www.visitvarmland.com/en,https://www.google.com/maps/search/?api=1&query=Karlstad%2C%20Sweden
13,Jönköping,Lake Vättern Waterfront,"Jönköping, Sweden",Optional,1小时,日落,湖边走一段，感受 Vättern 的巨大水平线。,大湖 horizon。,瑞典大湖地理把长途森林驾驶切成一个真正的景观点。,清澈秋光很好。,中转夜。,https://jkpg.com/en/,https://www.google.com/maps/search/?api=1&query=J%C3%B6nk%C3%B6ping%2C%20Sweden
21,Olomouc,Holy Trinity Column & Upper Square,"Horní náměstí, Olomouc, Czechia",Optional+,1.5小时,傍晚,广场、柱、town hall 和教堂街区一起走。,Baroque column、立面。,Olomouc 是重要 Moravian 宗教/政治中心，Baroque 城市感很完整。,街树有机会变色。,一晚很合适。,https://tourism.olomouc.eu/en/,https://www.google.com/maps/search/?api=1&query=Horn%C3%AD%20n%C3%A1m%C4%9Bst%C3%AD%2C%20Olomouc%2C%20Czechia
34,Zaragoza,Basílica del Pilar & Ebro,"Basílica de Nuestra Señora del Pilar, Zaragoza, Spain",Optional+,1.5小时,晚上,先从 Ebro 河岸看完整轮廓，再进 plaza。,圆顶、河面倒影。,它是 Barcelona-Madrid 之间的真正历史城市，不只是高速中转。,季节光线为主。,好中转。,https://www.zaragoza.es/sede/portal/turismo/,https://www.google.com/maps/search/?api=1&query=Bas%C3%ADlica%20de%20Nuestra%20Se%C3%B1ora%20del%20Pilar%2C%20Zaragoza%2C%20Spain
36,Salamanca,Plaza Mayor & University Quarter,"Plaza Mayor, Salamanca, Spain",Must,2小时,日落/夜间,从 Plaza Mayor 走到大学 façade，看砂岩颜色随太阳变金。,金色石材、大学细节。,这是欧洲最老的大学城市之一，城市统一感来自当地石材。,晚秋暖光非常强。,一晚很值。,https://salamanca.es/en/,https://www.google.com/maps/search/?api=1&query=Plaza%20Mayor%2C%20Salamanca%2C%20Spain
66,Linz,Danube Riverside,"Linz, Austria",Optional,1小时,晚上,只做河边恢复，不增加 sightseeing 压力。,Danube、现代河岸。,它存在的意义就是保护你的驾驶体验。,季节次要。,轻松。,https://www.linztourismus.at/en/leisure/,https://www.google.com/maps/search/?api=1&query=Linz%2C%20Austria
